Composer;Range;Prevalence of Most Common Pitch Class;Relative Prevalence of Top Pitches;Pitch Class Variability After Folding;Most Common Melodic Interval;Number of Common Melodic Intervals;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
1;58.0000;0.9200;7.0000;3.2900;1.0000;0.2300;0.4300;0.3200;0.0300;2.5000
1;53.0000;0.8600;8.0000;3.4400;1.0000;0.3000;0.5400;0.2400;0.0400;2.8000
1;58.0000;0.7200;5.0000;3.3000;12.0000;0.0600;0.1800;0.1700;0.0700;5.0400
1;53.0000;0.9600;2.0000;3.4900;2.0000;0.1400;0.3400;0.1900;0.1100;2.1300
1;57.0000;0.6900;5.0000;3.3900;0.0000;0.0200;0.0600;0.1000;0.0000;1.9100
1;58.0000;0.8100;7.0000;3.3200;2.0000;0.1100;0.2700;0.1700;0.0600;4.8300
1;57.0000;0.7500;7.0000;3.2900;1.0000;0.1700;0.2700;0.2600;0.0100;2.6900
1;56.0000;0.7900;4.0000;3.3300;12.0000;0.0500;0.0800;0.1200;0.0200;2.0900
1;59.0000;0.9500;7.0000;3.3300;12.0000;0.1000;0.2100;0.1500;0.0300;3.1800
1;59.0000;0.8300;4.0000;3.4200;1.0000;0.1700;0.3400;0.1500;0.0400;4.6000
1;58.0000;0.8000;5.0000;3.3800;12.0000;0.1400;0.3100;0.2000;0.0200;3.3100
1;58.0000;0.6900;5.0000;3.3600;2.0000;0.1600;0.3500;0.2800;0.0300;1.5400
1;51.0000;0.5400;5.0000;3.6300;2.0000;0.1300;0.3000;0.2000;0.0300;1.9700
1;57.0000;0.8200;5.0000;3.5100;2.0000;0.1500;0.4000;0.1300;0.0000;1.5100
1;45.0000;0.6000;5.0000;3.5500;2.0000;0.1400;0.3400;0.1800;0.0500;1.8300
1;62.0000;0.9500;5.0000;3.5000;2.0000;0.1100;0.2800;0.2500;0.0200;2.6500
1;51.0000;0.9400;8.0000;3.4900;3.0000;0.0500;0.1400;0.0800;0.0200;1.7800
1;60.0000;0.8600;5.0000;3.5300;2.0000;0.1200;0.3900;0.1000;0.0200;4.1600
1;67.0000;0.7100;5.0000;3.5000;2.0000;0.1600;0.3900;0.2200;0.0600;4.3600
1;63.0000;0.9700;7.0000;3.4700;3.0000;0.1500;0.2700;0.2600;0.1600;5.0300
1;72.0000;0.7500;7.0000;3.3100;2.0000;0.0900;0.3400;0.1600;0.0100;6.0600
1;68.0000;0.9100;7.0000;3.5000;1.0000;0.1200;0.2200;0.2700;0.0400;5.1400
