data_set_id;Range;Relative Prevalence of Top Pitch Classes;Interval Between Most Prevalent Pitch Classes;Pitch Class Variability;Most Common Melodic Interval;Chromatic Motion;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata26-1.mid;6.7e1;7.07e-1;5e0;3.496e0;2e0;1.564e-1;3.911e-1;2.165e-1;5.76e-2;4.356e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata26-2.mid;6.3e1;9.699e-1;7e0;3.472e0;3e0;1.465e-1;2.743e-1;2.599e-1;1.616e-1;5.031e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata26-3.mid;7.2e1;7.514e-1;7e0;3.312e0;2e0;8.861e-2;3.362e-1;1.629e-1;9.419e-3;6.057e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata27-1.mid;6.8e1;9.117e-1;7e0;3.496e0;1e0;1.167e-1;2.226e-1;2.691e-1;4.131e-2;5.141e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata27-2.mid;6.3e1;6.784e-1;7e0;3.448e0;2e0;7.629e-2;2.259e-1;1.946e-1;5.586e-2;2.75e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata28-1.mid;6.5e1;7.769e-1;7e0;3.413e0;5e0;1.045e-1;1.955e-1;2.072e-1;2.299e-2;2.084e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata28-2.mid;6.7e1;7.496e-1;5e0;3.563e0;1e0;1.331e-1;2.438e-1;2.248e-1;6.959e-2;3.078e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata28-3.mid;6.1e1;5.636e-1;7e0;3.378e0;1e0;1.797e-1;2.87e-1;1.72e-1;3.585e-2;2.115e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata29-2.mid;7.2e1;7.468e-1;5e0;3.698e0;1.2e1;3.156e-2;1.071e-1;8.925e-2;6.025e-2;3.916e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata29-3.mid;7.2e1;9.491e-1;5e0;3.468e0;1.2e1;9.66e-2;2.169e-1;1.584e-1;4.115e-2;2.477e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata30-1.mid;6.8e1;7.405e-1;7e0;3.404e0;3e0;1.047e-1;2.509e-1;1.309e-1;5.285e-2;2.606e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata31-1.mid;6.8e1;9.341e-1;5e0;3.455e0;2e0;9.774e-2;2.803e-1;1.828e-1;2.84e-2;3.168e0
